timestamp,asset_id,price,size,side,best_bid,best_ask
1771591958018,YES,0.75,248.79,SELL,0.73,0.7490049751243781
1771591958018,NO,0.25,230.91,BUY,0.2509950248756219,0.27
1771591958018,YES,0.75,230.91,SELL,0.73,0.7490049751243781
1771591958019,NO,0.26,19.23,BUY,0.26,0.27
1771591958019,YES,0.74,19.23,SELL,0.73,0.74
1771591958020,YES,0.72,138.95,BUY,0.73,0.74
1771591958020,NO,0.28,138.95,SELL,0.26,0.27
1771591958025,YES,0.73,1011.17,BUY,0.73,0.74
1771591958025,NO,0.27,1011.17,SELL,0.26,0.27
1771591958026,NO,0.22,1419,BUY,0.26,0.27
1771591958026,YES,0.78,1419,SELL,0.73,0.74
1771591958027,NO,0.16,509.04,BUY,0.26,0.27
1771591958027,YES,0.84,509.04,SELL,0.73,0.74
1771591958028,NO,0.15,496,BUY,0.26,0.27
1771591958028,YES,0.85,496,SELL,0.73,0.74
1771591958029,YES,0.69,583.5,BUY,0.73,0.74
1771591958029,NO,0.31,583.5,SELL,0.26,0.27
1771591958030,NO,0.19,486,BUY,0.26,0.27
1771591958030,YES,0.81,486,SELL,0.73,0.74
1771591958031,NO,0.22,1404,BUY,0.26,0.27
1771591958031,YES,0.78,1404,SELL,0.73,0.74
1771591958032,NO,0.21,361.75,BUY,0.26,0.27
1771591958032,YES,0.79,361.75,SELL,0.73,0.74
1771591958033,NO,0.26,24.23,BUY,0.26,0.27
1771591958033,YES,0.74,24.23,SELL,0.73,0.74
1771591958034,NO,0.22,1389,BUY,0.26,0.27
1771591958034,YES,0.78,1389,SELL,0.73,0.74
1771591958034,YES,0.78,1374,SELL,0.73,0.74
1771591958034,NO,0.22,1374,BUY,0.26,0.27
1771591958035,NO,0.22,1353,BUY,0.26,0.27
1771591958035,YES,0.78,1353,SELL,0.73,0.74
1771591958038,YES,0.73,1006.17,BUY,0.73,0.74
1771591958038,NO,0.27,1006.17,SELL,0.26,0.27
1771591958043,YES,0.73,1001.17,BUY,0.73,0.74
1771591958043,NO,0.27,1001.17,SELL,0.26,0.27
1771591958045,NO,0.23,364.5,BUY,0.26,0.27
1771591958045,YES,0.77,364.5,SELL,0.73,0.74
1771591958045,YES,0.64,447,BUY,0.73,0.74
